id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,review_scores_value
752318531145700331,https://www.airbnb.com/rooms/752318531145700331,Copacabana,-22.96635,-43.17938,Entire home/apt,5,1.0,2.0,4.0,507.0,3.0,3.0
1411843238290322081,https://www.airbnb.com/rooms/1411843238290322081,Botafogo,-22.94533,-43.18163,Entire home/apt,2,1.0,1.0,1.0,215.0,4.82,4.82
1339188406746847719,https://www.airbnb.com/rooms/1339188406746847719,Santa Cruz,-22.9372198,-43.6966461,Entire home/apt,4,1.0,2.0,4.0,90.0,5.0,5.0
1050604592912820183,https://www.airbnb.com/rooms/1050604592912820183,Leblon,-22.981651797126293,-43.22314382772875,Entire home/apt,5,2.0,2.0,3.0,769.0,4.75,4.69
1349515326730602111,https://www.airbnb.com/rooms/1349515326730602111,Ipanema,-22.983108,-43.2026608,Entire home/apt,4,1.5,1.0,2.0,351.0,4.82,4.73
1200769557920683881,https://www.airbnb.com/rooms/1200769557920683881,Copacabana,-22.984041,-43.1914755,Entire home/apt,4,1.0,1.0,3.0,352.0,5.0,4.9
692157484668621847,https://www.airbnb.com/rooms/692157484668621847,Barra da Tijuca,-23.0079,-43.30031,Private room,2,1.0,1.0,1.0,255.0,4.0,4.33
36357141,https://www.airbnb.com/rooms/36357141,Recreio dos Bandeirantes,-23.01587,-43.49285,Entire home/apt,4,3.0,2.0,3.0,300.0,,
1016237339276614851,https://www.airbnb.com/rooms/1016237339276614851,Ipanema,-22.986290236170653,-43.19501967358889,Entire home/apt,2,1.0,1.0,2.0,540.0,4.0,3.67
693591028462899003,https://www.airbnb.com/rooms/693591028462899003,Botafogo,-22.94137,-43.17813,Private room,1,1.0,1.0,1.0,69.0,4.68,4.58
873766900344438171,https://www.airbnb.com/rooms/873766900344438171,Copacabana,-22.96894434468745,-43.18705507576931,Entire home/apt,4,2.0,2.0,3.0,346.0,4.82,4.78
89981,https://www.airbnb.com/rooms/89981,Ipanema,-22.98088,-43.20042,Private room,2,1.0,1.0,1.0,220.0,4.89,4.77
20884297,https://www.airbnb.com/rooms/20884297,Leme,-22.96415,-43.17067,Entire home/apt,4,1.0,1.0,1.0,219.0,4.72,4.67
1357857262230283116,https://www.airbnb.com/rooms/1357857262230283116,Flamengo,-22.9344643,-43.1774591,Entire home/apt,2,1.5,1.0,1.0,200.0,5.0,5.0
51817544,https://www.airbnb.com/rooms/51817544,Copacabana,-22.9785,-43.19436,Entire home/apt,6,2.0,4.0,4.0,850.0,,
1315286426559625098,https://www.airbnb.com/rooms/1315286426559625098,Santa Teresa,-22.92358,-43.1902802,Entire home/apt,2,1.0,2.0,1.0,374.0,5.0,4.0
1436187521144875380,https://www.airbnb.com/rooms/1436187521144875380,Centro,-22.90756,-43.18053,Entire home/apt,2,1.0,1.0,1.0,92.0,4.71,4.86
21389231,https://www.airbnb.com/rooms/21389231,Irajá,-22.82906,-43.32779,Entire home/apt,8,2.0,2.0,5.0,234.0,4.97,4.86
1294403515837305734,https://www.airbnb.com/rooms/1294403515837305734,Ipanema,-22.98396115606782,-43.19932377877438,Entire home/apt,2,1.0,1.0,2.0,729.0,,
756238539071796416,https://www.airbnb.com/rooms/756238539071796416,Recreio dos Bandeirantes,-23.02251,-43.45273,Entire home/apt,4,2.0,2.0,3.0,860.0,5.0,4.92
1368430153487660816,https://www.airbnb.com/rooms/1368430153487660816,Ipanema,-22.98237708179997,-43.2007808617314,Shared room,1,2.0,1.0,4.0,64.0,5.0,5.0
1446480301622616920,https://www.airbnb.com/rooms/1446480301622616920,Copacabana,-22.9719464,-43.1879544,Entire home/apt,2,1.0,1.0,1.0,264.0,,
1297782552844052853,https://www.airbnb.com/rooms/1297782552844052853,Copacabana,-22.9696849,-43.1855841,Entire home/apt,3,1.0,1.0,2.0,219.0,4.85,4.9
40918104,https://www.airbnb.com/rooms/40918104,Ipanema,-22.98485,-43.19521,Entire home/apt,6,2.0,2.0,3.0,232.0,4.76,4.78
